ID,AUTHOR NAME,BOOK/SERIES NAME,BOOKS PLEDGED,Link Submitted,Link Type,Submitted ASIN type,Submitted ASIN (Clean),Ebook 1 ASIN,Clean Amazon US link,Direct?,Direct link,International?,Wide?,Image URL (for Rose's use),Kobo Link,Smashwords Link,Google Play Link,Apple Books Link,Barnes & Noble Link
23,S.L. ROWLAND,Pangea Online: The Complete Trilogy,1,https://www.amazon.com/dp/B092DZL9Q6,Amazon,Ebook,B092DZL9Q6,B092DZL9Q6,https://www.amazon.com/dp/B092DZL9Q6,FALSE,,FALSE,FALSE,,,,,,
24,JAMES LLOYD DULIN,Malitu,3,https://www.amazon.com/dp/B0BSG3ZKBH,Amazon,Series,B0BSG3ZKBH,B0BLGPMNZG,https://www.amazon.com/dp/B0BLGPMNZG,FALSE,,FALSE,FALSE,"https://m.media-amazon.com/images/I/815YVctSP2L._CLa%7C3296,2560%7C81KSvJ60kVL.jpg%7C0,0,1644,2560+1652,0,1644,2560_._SY300_.jpg",,,,,
25,MATTHEW SIADAK,The Dark Side of Super,1,https://www.amazon.com/dp/1964375002,Amazon,Paperback,1964375002,B0D343ZP53,https://www.amazon.com/dp/B0D343ZP53,FALSE,,FALSE,TRUE,,https://www.kobo.com/en/ebook/the-dark-side-of-super,https://www.smashwords.com/books/view/1571509,https://play.google.com/store/books/details/Matthew_Siadak_The_Dark_Side_of_Super?id=yxALEQAAQBAJ,https://books.apple.com/book/the-dark-side-of-super/id6503480291,https://www.barnesandnoble.com/w/the-dark-side-of-super-matthew-siadak/1145636233?ean=2940180087096
26,MATTHEW SIADAK,The Backwards Knight,1,https://www.amazon.com/dp/1964375029,Amazon,Paperback,1964375029,B0FFHDF8LV,https://www.amazon.com/dp/B0FFHDF8LV,FALSE,,FALSE,TRUE,,https://www.kobo.com/en/ebook/the-backwards-knight,https://www.smashwords.com/books/view/1793218,https://play.google.com/store/books/details/Matthew_Siadak_The_Backwards_Knight?id=OiJmEQAAQBAJ,https://books.apple.com/book/the-backwards-knight/id6747448875,https://www.barnesandnoble.com/w/the-backwards-knight-matthew-siadak/1147649965?ean=2940182051637
27,CONNOR LUDOVISSY,The Reukanaz Saga,2,https://www.amazon.com/gp/aw/d/B09ZF8VMQ3,Amazon,Series,B09ZF8VMQ3,B09ZDGW4KX,https://www.amazon.com/dp/B09ZDGW4KX,FALSE,,FALSE,FALSE,,,,,,
28,J. R. SNYDER,Sin Eater Tales,3,https://www.amazon.com/dp/B0C6NPL8DN,Amazon,Series,B0C6NPL8DN,B089QQ96CG,https://www.amazon.com/dp/B089QQ96CG,FALSE,,TRUE,FALSE,,,,,,
29,GEETHA KRISHNAN,Jaya!,4,https://authorniranjan.in/product-category/ebooks/fantasy/series/jaya/,Direct,,,B07GZM6C6S,https://www.amazon.com/dp/B07GZM6C6S,TRUE,https://authorniranjan.in/product-category/ebooks/fantasy/series/jaya,TRUE,TRUE,,https://www.kobo.com/en/ebook/pradyutita,https://www.smashwords.com/books/view/1189429,https://play.google.com/store/books/details?id=NnPXEAAAQBAJ,https://books.apple.com/book/pradyutita/id1583568658,https://www.barnesandnoble.com/w/pradyutita-geetha-krishnan/1140114002?ean=2940165591518
30,NIRANJAN,The Echelon,2,https://authorniranjan.in/product-category/ebooks/fantasy/series/the-echelon/,Direct,,,B0D784JYXR,https://www.amazon.com/dp/B0D784JYXR,TRUE,https://authorniranjan.in/product-category/ebooks/fantasy/series/the-echelon,TRUE,TRUE,,https://www.kobo.com/en/ebook/blade-broken,https://www.smashwords.com/books/view/1606522,https://play.google.com/store/books/details?id=FWsbEQAAQBAJ,https://books.apple.com/book/blade-broken/id6651855206,https://www.barnesandnoble.com/w/blade-broken-niranjan/1146202663?ean=2940180443106
31,NIRANJAN,Shades of Spring,2,https://authorniranjan.in/product-category/ebooks/fantasy/series/shades-of-spring/,Direct,,,B0D7859H4G,https://www.amazon.com/dp/B0D7859H4G,TRUE,https://authorniranjan.in/product-category/ebooks/fantasy/series/shades-of-spring,TRUE,TRUE,,https://www.kobo.com/en/ebook/shades-of-spring,https://www.smashwords.com/books/view/1606653,https://play.google.com/store/books/details?id=BWsbEQAAQBAJ,https://books.apple.com/book/shades-of-spring/id6651856728,https://www.barnesandnoble.com/w/shades-of-spring-niranjan/1146203489?ean=2940180435866
32,NIRANJAN,Knights of Fedoris,1,https://authorniranjan.in/product-category/ebooks/fantasy/series/the-knights-of-fedoris/,Direct,,,B0DDCQ3YLS,https://www.amazon.com/dp/B0DDCQ3YLS,TRUE,https://authorniranjan.in/product-category/ebooks/fantasy/series/the-knights-of-fedoris,TRUE,TRUE,,https://www.kobo.com/en/ebook/the-wizard-55,https://www.smashwords.com/books/view/1604465,https://play.google.com/store/books/details?id=EUQaEQAAQBAJ,https://books.apple.com/book/the-wizard/id6639615187,https://www.barnesandnoble.com/w/the-wizard-niranjan/1146185588?ean=2940180059444
33,NIRANJAN,The Elite and the Rogues,6,https://authorniranjan.in/product-category/ebooks/science-fiction/series-science-fiction/the-elite-and-the-rogues/,Direct,,,B0CGL3D49W,https://www.amazon.com/dp/B0CGL3D49W,TRUE,https://authorniranjan.in/product-category/ebooks/science-fiction/series-science-fiction/the-elite-and-the-rogues,TRUE,TRUE,,https://www.kobo.com/en/ebook/the-elitist-supremacy-1,https://www.smashwords.com/books/view/1189973,https://play.google.com/store/books/details?id=KBKHEAAAQBAJ,https://books.apple.com/book/the-elitist-supremacy/id1523176258,https://www.barnesandnoble.com/w/the-elitist-supremacy-niranjan/1143847888?ean=2940164684914
34,C.M. CARNEY,The Realms,8,https://www.amazon.com/dp/B07GRMVJ69,Amazon,Series,B07GRMVJ69,B07B1S52VM,https://www.amazon.com/dp/B07B1S52VM,FALSE,,FALSE,FALSE,,,,,,
35,C.M. CARNEY,The Quintessence,2,https://www.amazon.com/dp/B087NDS1MT,Amazon,Series,B087NDS1MT,B087J9FCPB,https://www.amazon.com/dp/B087J9FCPB,FALSE,,FALSE,FALSE,,,,,,
36,HJ TOLSON,Twilight Kingdom,2,https://www.amazon.com/gp/product/B0B89MVTGQ,Amazon,Ebook,B0B89MVTGQ,B0B89MVTGQ,https://www.amazon.com/dp/B0B89MVTGQ,FALSE,,TRUE,FALSE,,,,,,
37,HJ TOLSON,Liches Get Stitches,3,https://www.amazon.com/gp/product/B09GNRMHVR,Amazon,Ebook,B09GNRMHVR,B09GNRMHVR,https://www.amazon.com/dp/B09GNRMHVR,FALSE,,TRUE,FALSE,,,,,,
38,STEPHEN LANDRY ,Myra's Song,1,https://www.amazon.com/dp/B09KB5XS89,Amazon,Ebook,B09KB5XS89,B09KB5XS89,https://www.amazon.com/dp/B09KB5XS89,FALSE,,TRUE,FALSE,,,,,,
39,LANDRY AND BALLEW,Arianna and the Spirit of the Storm,1,https://www.amazon.com/gp/aw/d/B07X9LD11L,Amazon,Ebook,B07X9LD11L,B07X9LD11L,https://www.amazon.com/dp/B07X9LD11L,FALSE,,TRUE,TRUE,,https://www.kobo.com/en/ebook/arianna-and-the-spirit-of-the-storm,https://www.smashwords.com/books/view/1166656,,https://books.apple.com/book/arianna-and-the-spirit-of-the-storm/id6443591796,https://www.barnesandnoble.com/w/arianna-and-the-spirit-of-the-storm-robbie-ballew/1142375925?ean=2940165940620
40,BEN SCHENKMAN,The Devil You Know,3,https://www.amazon.com/dp/B0CQRGD7FV,Amazon,Series,B0CQRGD7FV,B0CR7Y81C2,https://www.amazon.com/dp/B0CR7Y81C2,FALSE,,FALSE,FALSE,,,,,,
41,"J.J. HOWELL, AJ ALEXANDERS, BEN SCHENKMAN",Underleveled,1,https://www.amazon.com/dp/B0FPGHX6KH,Amazon,Ebook,B0FPGHX6KH,B0FPGHX6KH,https://www.amazon.com/dp/B0FPGHX6KH,FALSE,,FALSE,FALSE,,,,,,
42,DAX MURRAY ,Stars and Soil ,1,https://store.dax.ink/products/stars-and-soil-2,Direct,,,B0CVR2JGSB,https://www.amazon.com/dp/B0CVR2JGSB,TRUE,https://store.dax.ink/products/stars-and-soil-2,FALSE,TRUE,,https://www.kobo.com/en/ebook/stars-and-soil,https://www.smashwords.com/books/view/1522864,https://play.google.com/store/books/details?id=c2b1EAAAQBAJ,https://books.apple.com/book/stars-and-soil/id6477968536,https://www.barnesandnoble.com/w/stars-and-soil-dax-murray/1144488577?ean=2940186148678
43,JAMIE A. WATERS,To Kill a Fae,1,https://www.amazon.com/dp/B07TW9JG8N,Amazon,Ebook,B07TW9JG8N,B07TW9JG8N,https://www.amazon.com/dp/B07TW9JG8N,FALSE,,TRUE,TRUE,,https://www.kobo.com/en/ebook/to-kill-a-fae-1,,https://play.google.com/store/books/details/Jamie_A_Waters_To_Kill_a_Fae?id=FPmfDwAAQBAJ,https://books.apple.com/book/to-kill-a-fae/id1471042017,https://www.barnesandnoble.com/w/to-kill-a-fae-jamie-a-waters/1132304320?ean=2940162955252
44,JOSEPH JOHN LEE,The Spellbinders and the Gunslingers,4,https://www.amazon.com/dp/B0BNKLHHD6,Amazon,Series,B0BNKLHHD6,B0BN45CBJX,https://www.amazon.com/dp/B0BN45CBJX,FALSE,,TRUE,FALSE,,,,,,
45,JOSEPH JOHN LEE,The Dragons of Nóra,2,https://www.amazon.com/dp/B0D6Q378P1,Amazon,Series,B0D6Q378P1,B0D4KNDFMP,https://www.amazon.com/dp/B0D4KNDFMP,FALSE,,TRUE,FALSE,,,,,,
46,M. H. THAUNG,A Quiet Rebellion trilogy,3,https://buy.bookfunnel.com/ne2g53g355,Landing page,,,B07FC4KLKC,https://www.amazon.com/dp/B07FC4KLKC,FALSE,,TRUE,TRUE,,https://www.kobo.com/en/ebook/a-quiet-rebellion-guilt-1,https://www.smashwords.com/books/view/1368435,,https://books.apple.com/book/a-quiet-rebellion-guilt/id6446788729,https://www.barnesandnoble.com/w/a-quiet-rebellion-m-h-thaung/1129143032?ean=2940167115613
47,M. H. THAUNG,Accidental Capers duology,2,https://buy.bookfunnel.com/2nas667wey,Landing page,,,B08M9CNK6L,https://www.amazon.com/dp/B08M9CNK6L,FALSE,,TRUE,TRUE,,https://www.kobo.com/en/ebook/the-diamond-device,https://www.smashwords.com/books/view/1258721,https://play.google.com/store/books/details/M_H_Thaung_The_Diamond_Device?id=TFQdEQAAQBAJ,https://books.apple.com/book/the-diamond-device/id1593847929,https://www.barnesandnoble.com/w/the-diamond-device-m-h-thaung/1140492369?ean=2940165576560
48,TIM AKERS,The Last Dragon Knight,1,https://www.amazon.com/dp/B0DV5D3GMH,Amazon,Ebook,B0DV5D3GMH,B0DV5D3GMH,https://www.amazon.com/dp/B0DV5D3GMH,FALSE,,FALSE,FALSE,,,,,,
49,MORGAN SHANK,Die Young,2,https://www.amazon.com/dp/B0D29WB8Z3,Amazon,Series,B0D29WB8Z3,B0CX68P71L,https://www.amazon.com/dp/B0CX68P71L,FALSE,,FALSE,FALSE,,,,,,
50,MORGAN SHANK,A Low Country,3,https://www.amazon.com/dp/B0BWS8G5GW,Amazon,Series,B0BWS8G5GW,B0BV36W3X2,https://www.amazon.com/dp/B0BV36W3X2,FALSE,,FALSE,FALSE,,,,,,
