ID,AUTHOR NAME,BOOK/SERIES NAME,BOOKS PLEDGED,LINK MUST END IN ASIN,Clean ASIN,Clean Amazon US Link,Wide?,SPFBO/SPSFC?,SPFBO/SPSFC Cohort,Direct?,Direct link,Books available Internationally,International?,Image URL (for Rose's use),Kobo Link,Smashwords Link,Google Play Link,Apple Books Link,Barnes & Noble Link
76,TAO WONG,Hidden Wishes,1,https://www.amazon.com/dp/B089KKJRCM,B089KKJRCM,https://www.amazon.com/dp/B089KKJRCM,TRUE,FALSE,,FALSE,,,TRUE,,https://www.kobo.com/en/ebook/a-gamer-s-wish,https://www.smashwords.com/books/view/1032196,https://play.google.com/store/books/details/Tao_Wong_A_Gamer_s_Wish_Hidden_Wishes_1?id=ZvmcDwAAQBAJ,https://books.apple.com/book/hidden-wishes-omnibus-books-1-3/id1602827360,https://www.barnesandnoble.com/w/a-gamers-wish-tao-wong/1136996689?ean=2940185836705
77,TAO WONG,Leveled Up Love,1,https://www.amazon.com/dp/B08P2B9S6Z,B08P2B9S6Z,https://www.amazon.com/dp/B08P2B9S6Z,TRUE,FALSE,,FALSE,,,TRUE,,https://www.kobo.com/en/ebook/leveled-up-love-1,https://www.smashwords.com/books/view/1086571,https://play.google.com/store/books/details/Tao_Wong_Leveled_Up_Love?id=soAwEAAAQBAJ,https://books.apple.com/book/leveled-up-love/id64430158666,https://www.barnesandnoble.com/w/leveled-up-love-tao-wong/1138410240?ean=2940185572559
78,TAO WONG,A Thousand Li,1,https://www.amazon.com/dp/B091D9CZCY,B091D9CZCY,https://www.amazon.com/dp/B091D9CZCY,FALSE,TRUE,SPFBO5,FALSE,,,TRUE,,,,,,
79,TAO WONG,Climbing the Ranks,2,https://www.amazon.com/dp/B0CDYBWSHJ,B0CDYBWSHJ,https://www.amazon.com/dp/B0CDYBWSHJ,TRUE,FALSE,,FALSE,,,TRUE,,https://www.kobo.com/en/ebook/climbing-the-ranks-1,https://www.smashwords.com/books/view/1434969,https://play.google.com/store/books/details/Tao_Wong_Climbing_the_Ranks_1?id=SdDPEAAAQBAJ,https://books.apple.com/book/climbing-the-ranks-1/id64590515499,https://www.barnesandnoble.com/w/climbing-the-ranks-1-tao-wong/1143893215?ean=2940161072226
80,TAO WONG,System Apocalypse: Australia,3,https://www.amazon.com/dp/B09JL2J6PV,B09JL2J6PV,https://www.amazon.com/dp/B09JL2J6PV,FALSE,FALSE,,FALSE,,,FALSE,,,,,,
81,TAO WONG,System Apocalypse: Kismet,3,https://www.amazon.com/dp/B0CKCP6NVZ,B0CKCP6NVZ,https://www.amazon.com/dp/B0CKCP6NVZ,FALSE,FALSE,,FALSE,,,FALSE,,,,,,
82,TAO WONG,System Apocalypse: Liberty,1,https://www.amazon.com/dp/B0D7MV5V31,B0D7MV5V31,https://www.amazon.com/dp/B0D7MV5V31,FALSE,FALSE,,FALSE,,,FALSE,,,,,,
83,TAO WONG,Eternal Night,3,https://www.amazon.com/dp/B08MFVL87Y,B08MFVL87Y,https://www.amazon.com/dp/B08MFVL87Y,TRUE,FALSE,,FALSE,,,TRUE,,https://www.kobo.com/en/ebook/first-steps-into-the-night,https://www.smashwords.com/books/view/1052485,https://play.google.com/store/books/details/Tao_Wong_First_Steps_into_the_Night_Eternal_Night?id=3aEGEAAAQBAJ,https://books.apple.com/book/first-steps-into-the-night/id1538456806,https://www.barnesandnoble.com/w/first-steps-into-the-night-tao-wong/1140101556?ean=2940185662243
84,TAO WONG,Adventures on Brad,1,https://www.amazon.com/dp/B07F5PPCR7,B07F5PPCR7,https://www.amazon.com/dp/B07F5PPCR7,TRUE,FALSE,,FALSE,,,TRUE,,https://www.kobo.com/en/ebook/a-healer-s-gift-1,https://www.smashwords.com/books/view/730300,https://play.google.com/store/books/details/Tao_Wong_A_Healer_s_Gift_Adventures_on_Brad_1?id=Mu0_DwAAQBAJ,https://books.apple.com/book/adventures-on-brad-books-1-3/id1602699640,https://www.barnesandnoble.com/w/a-healers-gift-tao-wong/1141554652?ean=2940185836484
85,DANIEL MAIDMAN,The Exile of Zanzibar,1,https://www.amazon.com/Exile-Zanzibar-Railroad-Book-ebook/dp/B0BWDPLGG4,B0BWDPLGG4,https://www.amazon.com/dp/B0BWDPLGG4,FALSE,TRUE,SPFBO9 Semi-finalist,FALSE,,,TRUE,,,,,,
86,GRAYSON SINCLAIR,Trinity of the Hive,3,https://www.amazon.com/gp/product/B08FK7BMRJ,B08FK7BMRJ,https://www.amazon.com/dp/B08FK7BMRJ,TRUE,FALSE,,FALSE,,,TRUE,,https://www.kobo.com/en/ebook/hive-knight,https://www.smashwords.com/books/view/1316645,https://play.google.com/store/books/details/Grayson_Sinclair_Hive_Knight?id=k6GmEAAAQBAJ,https://books.apple.com/book/hive-knight/id6445398808,https://www.barnesandnoble.com/w/hive-knight-grayson-sinclair/1137484728?ean=2940185849859
